                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.512,                 3.6286,                 1.7228,                 0.0077,                0.87186,                0.10358,                 0.0472,                 1.5097,                 4.0119,                 1.9319,             0.00024879,             0.00024879,             0.00024879
                      2,                 1.4682,                 3.0301,                 1.6191,                0.30568,                0.33404,                0.18988,                0.09426,                 1.6118,                 3.4103,                  2.048,             0.00049513,             0.00049513,             0.00049513
                      3,                 1.5135,                 2.8396,                 1.6633,                0.24457,                0.27315,                0.15356,                0.07136,                 1.7617,                 6.0021,                 2.0773,             0.00073131,             0.00073131,             0.00073131
                      4,                 1.4949,                 2.7852,                 1.6545,                0.34716,                0.36245,                0.25734,                0.12141,                 1.8704,                 4.8161,                 2.2335,             0.00072332,             0.00072332,             0.00072332
                      5,                 1.5297,                 2.5909,                  1.645,                0.31931,                0.39105,                0.25257,                0.10665,                 1.8829,                 4.1885,                 2.1965,             0.00072332,             0.00072332,             0.00072332
                      6,                 1.4573,                 2.4894,                 1.5941,                0.35931,                0.40742,                0.27513,                0.12207,                 1.9324,                 4.4481,                 2.2951,              0.0007081,              0.0007081,              0.0007081
                      7,                 1.4243,                 2.3665,                 1.5606,                0.63228,                0.35742,                0.40869,                0.18138,                 1.8814,                 3.4691,                 2.2259,             0.00069287,             0.00069287,             0.00069287
                      8,                 1.4522,                 2.2963,                  1.585,                0.55042,                0.41194,                0.39633,                0.18329,                 1.7226,                 3.0311,                 1.9798,             0.00067764,             0.00067764,             0.00067764
                      9,                 1.4087,                 2.1576,                  1.518,                0.53936,                0.50046,                 0.4861,                0.23945,                 1.7098,                 2.8617,                  1.988,             0.00066242,             0.00066242,             0.00066242
                     10,                  1.427,                 2.1172,                 1.5308,                0.51412,                0.45563,                0.42755,                 0.2059,                 1.7519,                 3.0751,                 1.9868,             0.00064719,             0.00064719,             0.00064719
                     11,                  1.383,                 1.9686,                 1.4918,                0.56073,                0.50889,                 0.4992,                0.24336,                 1.8398,                   2.76,                 2.0303,             0.00063196,             0.00063196,             0.00063196
                     12,                 1.3568,                 1.9212,                 1.5027,                0.59514,                0.43844,                0.46336,                0.23037,                 1.6653,                 2.9018,                 1.9641,             0.00061674,             0.00061674,             0.00061674
                     13,                 1.3606,                 1.9286,                  1.475,                0.61732,                0.39934,                0.47339,                 0.2281,                 1.6661,                 3.2885,                 1.8917,             0.00060151,             0.00060151,             0.00060151
                     14,                  1.357,                 1.9234,                 1.4854,                0.67656,                0.42128,                0.49153,                0.24504,                 1.7131,                 2.7388,                 1.9263,             0.00058629,             0.00058629,             0.00058629
                     15,                 1.3169,                 1.8219,                 1.4735,                0.60915,                 0.5262,                0.52294,                0.27462,                 1.6322,                 2.6834,                 1.8857,             0.00057106,             0.00057106,             0.00057106
                     16,                 1.3098,                 1.7798,                 1.4601,                0.69634,                0.49954,                0.55335,                0.31245,                 1.6774,                 2.4954,                 2.0015,             0.00055583,             0.00055583,             0.00055583
                     17,                 1.2764,                 1.6887,                 1.4298,                0.67718,                0.51991,                0.57651,                0.27966,                 1.7643,                  2.848,                 2.0255,             0.00054061,             0.00054061,             0.00054061
                     18,                 1.2803,                 1.6638,                  1.431,                0.85329,                0.43845,                0.61424,                0.33185,                 1.5844,                 2.3501,                 1.8557,             0.00052538,             0.00052538,             0.00052538
                     19,                 1.2724,                 1.6683,                  1.444,                 0.6865,                0.56463,                0.61567,                0.32932,                 1.6694,                 2.6245,                 1.8972,             0.00051015,             0.00051015,             0.00051015
                     20,                 1.2263,                 1.6014,                 1.4002,                0.66037,                 0.5911,                0.62182,                0.33991,                 1.6015,                 2.3611,                 1.8479,             0.00049493,             0.00049493,             0.00049493
                     21,                 1.2577,                  1.607,                 1.3977,                0.72429,                0.62691,                 0.6541,                0.35283,                 1.6708,                 2.4456,                 1.8539,              0.0004797,              0.0004797,              0.0004797
                     22,                 1.2371,                 1.5158,                 1.3976,                0.75246,                0.54564,                0.63722,                0.34963,                 1.6621,                 2.3963,                 1.8836,             0.00046448,             0.00046448,             0.00046448
                     23,                 1.2188,                 1.4564,                 1.3979,                0.68425,                0.60229,                 0.6221,                0.33172,                 1.7205,                 2.4394,                 1.9082,             0.00044925,             0.00044925,             0.00044925
                     24,                 1.2434,                  1.432,                 1.3876,                0.74699,                0.51145,                0.61213,                0.33848,                 1.6233,                 2.4376,                  1.817,             0.00043402,             0.00043402,             0.00043402
                     25,                 1.2107,                 1.3987,                 1.3899,                0.77871,                0.54235,                0.64635,                0.36415,                  1.619,                 2.4535,                 1.8564,              0.0004188,              0.0004188,              0.0004188
                     26,                  1.204,                 1.4117,                  1.394,                 0.7418,                 0.6057,                0.64966,                0.34948,                 1.6106,                 2.2208,                 1.8724,             0.00040357,             0.00040357,             0.00040357
                     27,                 1.2096,                 1.3529,                 1.3795,                0.71625,                0.65193,                0.66287,                0.35766,                  1.627,                 2.3824,                 1.8528,             0.00038835,             0.00038835,             0.00038835
                     28,                 1.1949,                 1.3051,                 1.3658,                0.79294,                0.56891,                0.65896,                0.35704,                 1.6196,                 2.2812,                 1.8039,             0.00037312,             0.00037312,             0.00037312
                     29,                 1.1752,                 1.3101,                 1.3605,                0.73794,                 0.6393,                0.67711,                0.37778,                 1.6126,                 2.2746,                 1.7967,             0.00035789,             0.00035789,             0.00035789
                     30,                 1.1517,                 1.2705,                 1.3268,                0.78554,                0.59881,                0.68427,                0.37727,                 1.6479,                 2.0186,                 1.8422,             0.00034267,             0.00034267,             0.00034267
                     31,                  1.149,                 1.2594,                 1.3319,                0.79623,                0.59332,                0.68637,                0.36214,                 1.6633,                 2.1078,                 1.8765,             0.00032744,             0.00032744,             0.00032744
                     32,                 1.1192,                 1.2763,                 1.3264,                 0.7101,                0.59728,                0.70799,                0.40068,                 1.5673,                  2.115,                 1.8121,             0.00031221,             0.00031221,             0.00031221
                     33,                 1.1406,                 1.2518,                  1.332,                0.75337,                0.63621,                0.67538,                0.36095,                 1.6442,                 2.2685,                  1.853,             0.00029699,             0.00029699,             0.00029699
                     34,                 1.0755,                 1.1716,                 1.3031,                0.80599,                0.61471,                0.70746,                 0.3742,                 1.6236,                  2.153,                 1.8385,             0.00028176,             0.00028176,             0.00028176
                     35,                 1.1184,                 1.1944,                 1.3063,                0.81739,                0.61539,                0.69327,                0.37062,                 1.6177,                 2.1517,                  1.808,             0.00026654,             0.00026654,             0.00026654
